time_period;economic_activity;establishment_size;number_of_establishments
2017;Civil engineering;5 to 19 Employees;495.0
2017;Retail trade, except of motor vehicles and motorcycles;Less than 5 Employees;311643.0
2017;Land transport and transport via pipelines;Less than 5 Employees;1462.0
2017;Water transport;Less than 5 Employees;66.0
2017;Water transport;5 to 19 Employees;83.0
2017;Air transport;Less than 5 Employees;300.0
2017;Air transport;5 to 19 Employees;140.0
2017;Air transport;20+  Employees;39.0
2017;Warehousing and support activities for transportation;Less than 5 Employees;7518.0
2017;Warehousing and support activities for transportation;20+  Employees;806.0
2017;Postal and courier activities;Less than 5 Employees;283.0
2017;Postal and courier activities;20+  Employees;38.0
2017;Food and beverage service activities;Total;75971.0
2017;Publishing activities;20+  Employees;82.0
2017;Motion picture, video & tv programme production, sound recording;Total;205.0
2017;Information service activities;Less than 5 Employees;235.0
2017;Financial service activities, except insurance and pension funding;Less than 5 Employees;1672.0
2017;Financial service activities, except insurance and pension funding;5 to 19 Employees;2584.0
2017;Financial service activities, except insurance and pension funding;20+  Employees;581.0
2017;Real estate activities;20+  Employees;365.0
2017;Legal and accounting activities;Total;1805.0
2017;"Activities of head offices; management consultancy activities";Total;414.0
2017;Scientific research and development;5 to 19 Employees;6.0
2017;Advertising and market research;5 to 19 Employees;1229.0
2017;Advertising and market research;20+  Employees;178.0
2017;Advertising and market research;Total;3681.0
2017;Other professional, scientific and technical activities;Total;3787.0
2017;Veterinary activities;Less than 5 Employees;609.0
2017;Rental and leasing activities;20+  Employees;279.0
2017;Rental and leasing activities;Total;8608.0
2017;Travel agency, tour operator, reservation service & related activities;5 to 19 Employees;1048.0
2017;Travel agency, tour operator, reservation service & related activities;20+  Employees;138.0
2017;Office administrative, office support & other business support act's;Less than 5 Employees;2218.0
2017;Education;20+  Employees;3253.0
2017;Human health activities;5 to 19 Employees;1840.0
2017;Human health activities;20+  Employees;1749.0
2017;Creative, arts and entertainment activities;5 to 19 Employees;69.0
2017;Creative, arts and entertainment activities;Total;303.0
2017;Other personal service activities;Less than 5 Employees;58979.0
2017;Total;Total;1007273.0
2016;Forestry and logging;20+  Employees;1.0
2016;Forestry and logging;Total;633.0
2016;Mining of coal and lignite;Less than 5 Employees;7.0
2016;Extraction of crude petroleum and natural gas;Total;72.0
2016;Mining of metal ores;Less than 5 Employees;10.0
2016;Mining support service activities;20+  Employees;85.0
2016;Manufacture of food products;Less than 5 Employees;9528.0
2016;Manufacture of food products;Total;11804.0
2016;Manufacture of textiles;20+  Employees;94.0
2016;Manufacture of wearing apparel;Total;32650.0
2016;Manufacture of leather and related products;20+  Employees;17.0
2016;Manufacture of leather and related products;Total;141.0
2016;Manufacture of wood and of products of wood and cork;Less than 5 Employees;3347.0
2016;Manufacture of paper and paper products;20+  Employees;127.0
2016;Manufacture of coke and refined petroleum products;Less than 5 Employees;32.0
2016;Manufacture of products and preparations pharmaceutical;Less than 5 Employees;24.0
2016;Manufacture of products and preparations pharmaceutical;5 to 19 Employees;18.0
2016;Manufacture of other non-metallic mineral products;20+  Employees;1191.0
2016;Manufacture of other non-metallic mineral products;Total;4638.0
2016;Manufacture of basic metals;Less than 5 Employees;112.0
2016;Manufacture of basic metals;20+  Employees;288.0
2016;Manufacture of fabricated metal products;Total;21126.0
2016;Manufacture of computer, electronic and optical products;Total;141.0
2016;Manufacture of machinery and equipment n.e.c.;5 to 19 Employees;135.0
2016;Manufacture of motor vehicles, trailers and semi-trailers;Less than 5 Employees;87.0
2016;Manufacture of other transport equipment;Less than 5 Employees;24.0
2016;Manufacture of other transport equipment;Total;46.0
2016;Other manufacturing;5 to 19 Employees;87.0
2016;Other manufacturing;Total;510.0
2016;Repair and installation of machinery and equipment;20+  Employees;191.0
2016;Water collection, treatment and supply;20+  Employees;137.0
2016;Sewerage;Total;135.0
2016;"Waste collection, treatment & disposal activities; materials recovery";Total;290.0
2016;Construction of buildings;Less than 5 Employees;9820.0
2016;Construction of buildings;20+  Employees;3903.0
2016;Construction of buildings;Total;20985.0
2016;Civil engineering;5 to 19 Employees;490.0
2016;Civil engineering;Total;1244.0
2016;Specialized construction activities;Less than 5 Employees;7491.0
2016;Specialized construction activities;20+  Employees;812.0
2016;Wholesale & retail trade and repair of motor vehicles & motorcycles;Less than 5 Employees;79289.0
2016;Wholesale & retail trade and repair of motor vehicles & motorcycles;Total;95529.0
2016;Wholesale trade, except of motor vehicles and motorcycles;Less than 5 Employees;26692.0
2016;Retail trade, except of motor vehicles and motorcycles;5 to 19 Employees;25929.0
2016;Land transport and transport via pipelines;20+  Employees;755.0
2016;Land transport and transport via pipelines;Total;3410.0
2016;Water transport;Less than 5 Employees;66.0
2016;Water transport;5 to 19 Employees;83.0
2016;Water transport;20+  Employees;189.0
2016;Air transport;20+  Employees;39.0
2016;Warehousing and support activities for transportation;5 to 19 Employees;3683.0
2016;Postal and courier activities;Less than 5 Employees;281.0
2016;Food and beverage service activities;Less than 5 Employees;55826.0
2016;Food and beverage service activities;Total;75477.0
2016;Publishing activities;20+  Employees;81.0
2016;Telecommunications;Total;3346.0
2016;Computer programming, consultancy and related activities;5 to 19 Employees;229.0
2016;Financial service activities, except insurance and pension funding;Total;4802.0
2016;Activities auxiliary to financial service and insurance activities;Less than 5 Employees;166.0
2016;Legal and accounting activities;Total;1794.0
2016;"Activities of head offices; management consultancy activities";5 to 19 Employees;209.0
2016;"Architectural and engineering activities; technical testing & analysis";5 to 19 Employees;1145.0
2016;Education;Less than 5 Employees;2474.0
2016;Human health activities;Total;4150.0
2016;Residential care activities;Less than 5 Employees;23.0
2016;Libraries, archives, museums and other cultural activities;20+  Employees;11.0
2016;Sports activities and amusement and recreation activities;Total;1929.0
2016;Activities of membership organizations;5 to 19 Employees;845.0
2016;Repair of computers and personal and household goods;5 to 19 Employees;574.0
2016;Other personal service activities;5 to 19 Employees;3313.0
2016;Insurance, reinsurance and pension funding;Total;1255.0
2016;Real estate activities;Total;34603.0
2016;"Architectural and engineering activities; technical testing & analysis";Total;2336.0
2016;Scientific research and development;5 to 19 Employees;5.0
2016;Travel agency, tour operator, reservation service & related activities;20+  Employees;137.0
2016;Security and investigation activities;5 to 19 Employees;228.0
2016;Security and investigation activities;20+  Employees;213.0
2016;Office administrative, office support & other business support act's;Total;2780.0
2016;Fishing and aquaculture;Less than 5 Employees;47.0
2016;Other mining and quarrying;Less than 5 Employees;30.0
2016;Manufacture of food products;5 to 19 Employees;1583.0
2016;Manufacture of tobacco products;Less than 5 Employees;71.0
2016;Manufacture of tobacco products;5 to 19 Employees;8.0
2016;Manufacture of tobacco products;20+  Employees;1.0
2016;Manufacture of tobacco products;Total;80.0
2016;Manufacture of wearing apparel;5 to 19 Employees;2133.0
2016;Manufacture of wood and of products of wood and cork;20+  Employees;151.0
2016;Manufacture of wood and of products of wood and cork;Total;4985.0
2016;Manufacture of paper and paper products;5 to 19 Employees;128.0
2016;Printing and reproduction of recorded media;5 to 19 Employees;430.0
2016;Manufacture of coke and refined petroleum products;20+  Employees;26.0
2016;Manufacture of chemicals and chemical products;Total;1514.0
2016;Manufacture of rubber and plastics products;5 to 19 Employees;318.0
2016;Manufacture of motor vehicles, trailers and semi-trailers;5 to 19 Employees;164.0
2016;Manufacture of other transport equipment;5 to 19 Employees;12.0
2016;Manufacture of furniture;5 to 19 Employees;2183.0
2016;Repair and installation of machinery and equipment;5 to 19 Employees;688.0
2016;Electricity, gas, steam and air conditioning supply;5 to 19 Employees;159.0
2016;Electricity, gas, steam and air conditioning supply;20+  Employees;266.0
2016;Water collection, treatment and supply;Less than 5 Employees;1492.0
2016;Water collection, treatment and supply;5 to 19 Employees;347.0
2016;Construction of buildings;5 to 19 Employees;7262.0
2016;Civil engineering;Less than 5 Employees;214.0
2016;Retail trade, except of motor vehicles and motorcycles;Less than 5 Employees;311208.0
2016;Land transport and transport via pipelines;5 to 19 Employees;1197.0
2016;Air transport;Less than 5 Employees;298.0
2016;Warehousing and support activities for transportation;Total;11971.0
2016;Publishing activities;5 to 19 Employees;245.0
2016;Programming and broadcasting activities;Total;330.0
2016;Information service activities;20+  Employees;27.0
2016;Information service activities;Total;359.0
2016;Financial service activities, except insurance and pension funding;20+  Employees;579.0
2016;Activities auxiliary to financial service and insurance activities;5 to 19 Employees;339.0
2016;Activities auxiliary to financial service and insurance activities;Total;532.0
2016;"Activities of head offices; management consultancy activities";Less than 5 Employees;148.0
2016;Scientific research and development;Less than 5 Employees;8.0
2016;Scientific research and development;Total;19.0
2016;Advertising and market research;Less than 5 Employees;2270.0
2016;Other professional, scientific and technical activities;Less than 5 Employees;3370.0
2016;Other professional, scientific and technical activities;5 to 19 Employees;377.0
2016;Veterinary activities;5 to 19 Employees;24.0
2016;Veterinary activities;Total;630.0
2016;Rental and leasing activities;Less than 5 Employees;7151.0
2016;Rental and leasing activities;20+  Employees;277.0
2016;Employment activities;Less than 5 Employees;3684.0
2016;Employment activities;5 to 19 Employees;722.0
2016;Travel agency, tour operator, reservation service & related activities;Less than 5 Employees;1999.0
2016;Travel agency, tour operator, reservation service & related activities;Total;3178.0
2016;Services to buildings and landscape activities;Total;1671.0
2016;Education;Total;9298.0
2016;Human health activities;20+  Employees;1746.0
2016;Social work activities without accommodation;5 to 19 Employees;734.0
2016;Social work activities without accommodation;20+  Employees;146.0
2016;Social work activities without accommodation;Total;1587.0
2016;Libraries, archives, museums and other cultural activities;Less than 5 Employees;127.0
2016;Activities of membership organizations;Less than 5 Employees;1561.0
2016;Total;20+  Employees;31425.0
2016;Crop and animal production, hunting and related service activities;Less than 5 Employees;83430.0
2016;Crop and animal production, hunting and related service activities;5 to 19 Employees;5145.0
2016;Fishing and aquaculture;5 to 19 Employees;11.0
2016;Mining of coal and lignite;5 to 19 Employees;0.0
2016;Mining of coal and lignite;20+  Employees;0.0
2016;Mining of coal and lignite;Total;7.0
2016;Extraction of crude petroleum and natural gas;5 to 19 Employees;14.0
2016;Extraction of crude petroleum and natural gas;20+  Employees;49.0
2016;Other mining and quarrying;20+  Employees;140.0
2016;Other mining and quarrying;Total;385.0
2016;Mining support service activities;5 to 19 Employees;46.0
2016;Manufacture of food products;20+  Employees;693.0
2016;Manufacture of wearing apparel;Less than 5 Employees;30396.0
2016;Manufacture of wood and of products of wood and cork;5 to 19 Employees;1487.0
2016;Manufacture of paper and paper products;Less than 5 Employees;90.0
2016;Printing and reproduction of recorded media;20+  Employees;179.0
2016;Manufacture of products and preparations pharmaceutical;20+  Employees;52.0
2016;Manufacture of products and preparations pharmaceutical;Total;94.0
2016;Manufacture of other non-metallic mineral products;5 to 19 Employees;1683.0
2016;Manufacture of fabricated metal products;20+  Employees;756.0
2016;Manufacture of computer, electronic and optical products;20+  Employees;33.0
2016;Manufacture of electrical equipment;Less than 5 Employees;318.0
2016;Manufacture of electrical equipment;5 to 19 Employees;99.0
2016;Manufacture of machinery and equipment n.e.c.;Total;371.0
2016;Manufacture of motor vehicles, trailers and semi-trailers;Total;330.0
2016;Manufacture of furniture;Less than 5 Employees;7426.0
2016;Other manufacturing;Less than 5 Employees;359.0
2016;Remediation activities and other waste management services;5 to 19 Employees;4.0
2016;Remediation activities and other waste management services;Total;19.0
2016;Specialized construction activities;5 to 19 Employees;3394.0
2016;Specialized construction activities;Total;11697.0
2016;Wholesale & retail trade and repair of motor vehicles & motorcycles;5 to 19 Employees;14972.0
2016;Wholesale & retail trade and repair of motor vehicles & motorcycles;20+  Employees;1268.0
