time_period;economic_activity;establishment_size;number_of_establishments
2014;Manufacture of textiles;5 to 19 Employees;267.0
2014;Manufacture of textiles;20+  Employees;73.0
2014;Manufacture of leather and related products;20+  Employees;15.0
2014;Manufacture of paper and paper products;Less than 5 Employees;86.0
2014;Manufacture of paper and paper products;20+  Employees;111.0
2014;Printing and reproduction of recorded media;Less than 5 Employees;762.0
2014;Manufacture of coke and refined petroleum products;Total;119.0
2014;Manufacture of products and preparations pharmaceutical;20+  Employees;43.0
2014;Manufacture of rubber and plastics products;Less than 5 Employees;213.0
2014;Manufacture of computer, electronic and optical products;5 to 19 Employees;34.0
2014;Manufacture of computer, electronic and optical products;20+  Employees;29.0
2014;Manufacture of electrical equipment;5 to 19 Employees;93.0
2014;Manufacture of machinery and equipment n.e.c.;5 to 19 Employees;120.0
2014;Manufacture of motor vehicles, trailers and semi-trailers;Total;302.0
2014;Manufacture of furniture;Less than 5 Employees;7186.0
2014;Manufacture of furniture;5 to 19 Employees;2127.0
2014;Other manufacturing;Less than 5 Employees;349.0
2014;Repair and installation of machinery and equipment;Less than 5 Employees;10983.0
2014;Repair and installation of machinery and equipment;20+  Employees;167.0
2014;Water collection, treatment and supply;20+  Employees;113.0
2014;Sewerage;20+  Employees;49.0
2014;Construction of buildings;Total;19185.0
2014;Civil engineering;Less than 5 Employees;206.0
2014;Civil engineering;5 to 19 Employees;457.0
2014;Specialized construction activities;5 to 19 Employees;3182.0
2014;Wholesale trade, except of motor vehicles and motorcycles;Less than 5 Employees;25030.0
2014;Wholesale trade, except of motor vehicles and motorcycles;5 to 19 Employees;7255.0
2014;Land transport and transport via pipelines;Less than 5 Employees;1406.0
2014;Water transport;Less than 5 Employees;64.0
2014;Accommodation;Total;26296.0
2014;Food and beverage service activities;Total;71086.0
2014;Publishing activities;Less than 5 Employees;461.0
2014;Publishing activities;Total;749.0
2014;Motion picture, video & tv programme production, sound recording;Total;187.0
2014;Programming and broadcasting activities;20+  Employees;11.0
2014;Information service activities;Less than 5 Employees;219.0
2014;Financial service activities, except insurance and pension funding;Less than 5 Employees;1523.0
2014;Financial service activities, except insurance and pension funding;5 to 19 Employees;2377.0
2014;Activities auxiliary to financial service and insurance activities;Total;476.0
2014;Real estate activities;5 to 19 Employees;2139.0
2014;"Activities of head offices; management consultancy activities";Less than 5 Employees;142.0
2014;"Architectural and engineering activities; technical testing & analysis";5 to 19 Employees;1011.0
2014;"Architectural and engineering activities; technical testing & analysis";20+  Employees;286.0
2014;Scientific research and development;Less than 5 Employees;6.0
2014;Scientific research and development;5 to 19 Employees;3.0
2014;Other professional, scientific and technical activities;Total;3586.0
2014;Employment activities;Less than 5 Employees;3454.0
2014;Employment activities;20+  Employees;62.0
2014;Employment activities;Total;4159.0
2014;Office administrative, office support & other business support act's;20+  Employees;86.0
2014;Education;Less than 5 Employees;2289.0
2014;Education;Total;8298.0
2014;Social work activities without accommodation;Less than 5 Employees;671.0
2014;Creative, arts and entertainment activities;5 to 19 Employees;56.0
2014;Libraries, archives, museums and other cultural activities;20+  Employees;11.0
2014;Sports activities and amusement and recreation activities;5 to 19 Employees;524.0
2014;Activities of membership organizations;Less than 5 Employees;1366.0
2014;Other personal service activities;5 to 19 Employees;3205.0
2014;Forestry and logging;5 to 19 Employees;29.0
2014;Forestry and logging;20+  Employees;1.0
2014;Mining of coal and lignite;20+  Employees;0.0
2014;Extraction of crude petroleum and natural gas;20+  Employees;48.0
2014;Mining of metal ores;Total;42.0
2014;Other mining and quarrying;Total;358.0
2014;Manufacture of food products;Less than 5 Employees;9156.0
2014;Manufacture of food products;20+  Employees;600.0
2014;Manufacture of beverages;Total;935.0
2014;Manufacture of tobacco products;Less than 5 Employees;67.0
2014;Manufacture of textiles;Total;2257.0
2014;Manufacture of leather and related products;5 to 19 Employees;14.0
2014;Manufacture of leather and related products;Total;132.0
2014;Manufacture of paper and paper products;5 to 19 Employees;112.0
2014;Manufacture of coke and refined petroleum products;Less than 5 Employees;28.0
2014;Manufacture of chemicals and chemical products;Less than 5 Employees;360.0
2014;Manufacture of chemicals and chemical products;20+  Employees;447.0
2014;Manufacture of products and preparations pharmaceutical;Total;82.0
2014;Manufacture of rubber and plastics products;Total;728.0
2014;Manufacture of basic metals;Less than 5 Employees;109.0
2014;Manufacture of fabricated metal products;20+  Employees;640.0
2014;Electricity, gas, steam and air conditioning supply;20+  Employees;214.0
2014;Electricity, gas, steam and air conditioning supply;Total;713.0
2014;Sewerage;Less than 5 Employees;39.0
2014;"Waste collection, treatment & disposal activities; materials recovery";5 to 19 Employees;100.0
2014;"Waste collection, treatment & disposal activities; materials recovery";20+  Employees;56.0
2014;Wholesale & retail trade and repair of motor vehicles & motorcycles;Total;91908.0
2014;Wholesale trade, except of motor vehicles and motorcycles;Total;33699.0
2014;Retail trade, except of motor vehicles and motorcycles;20+  Employees;2416.0
2014;Air transport;Less than 5 Employees;289.0
2014;Postal and courier activities;5 to 19 Employees;99.0
2014;Food and beverage service activities;5 to 19 Employees;15791.0
2014;Food and beverage service activities;20+  Employees;1868.0
2014;Motion picture, video & tv programme production, sound recording;5 to 19 Employees;41.0
2014;Computer programming, consultancy and related activities;Total;510.0
2014;Information service activities;5 to 19 Employees;85.0
2014;Financial service activities, except insurance and pension funding;Total;4388.0
2014;Activities auxiliary to financial service and insurance activities;Less than 5 Employees;157.0
2014;Real estate activities;Total;31245.0
2014;Legal and accounting activities;Less than 5 Employees;1078.0
2014;"Activities of head offices; management consultancy activities";5 to 19 Employees;177.0
2014;Rental and leasing activities;5 to 19 Employees;989.0
2014;Security and investigation activities;5 to 19 Employees;205.0
2014;Security and investigation activities;Total;591.0
2014;Services to buildings and landscape activities;5 to 19 Employees;577.0
2014;Services to buildings and landscape activities;20+  Employees;264.0
2014;Human health activities;20+  Employees;1470.0
2014;Human health activities;Total;3706.0
2014;Residential care activities;5 to 19 Employees;22.0
2014;Residential care activities;20+  Employees;16.0
2014;Social work activities without accommodation;5 to 19 Employees;657.0
2014;Libraries, archives, museums and other cultural activities;5 to 19 Employees;32.0
2014;Activities of membership organizations;5 to 19 Employees;830.0
2014;Activities of membership organizations;20+  Employees;149.0
2014;Repair of computers and personal and household goods;20+  Employees;78.0
2014;Other personal service activities;Less than 5 Employees;54898.0
2014;Total;Total;946880.0
2014;Crop and animal production, hunting and related service activities;20+  Employees;390.0
2014;Forestry and logging;Total;609.0
2014;Fishing and aquaculture;5 to 19 Employees;10.0
2014;Fishing and aquaculture;Total;64.0
2014;Mining of coal and lignite;Less than 5 Employees;5.0
2014;Mining of coal and lignite;Total;5.0
2014;Extraction of crude petroleum and natural gas;5 to 19 Employees;12.0
2014;Mining of metal ores;Less than 5 Employees;9.0
2014;Other mining and quarrying;Less than 5 Employees;30.0
2014;Other mining and quarrying;20+  Employees;122.0
2014;Manufacture of food products;Total;11284.0
2014;Manufacture of textiles;Less than 5 Employees;1917.0
2014;Manufacture of wearing apparel;5 to 19 Employees;1959.0
2014;Manufacture of wearing apparel;20+  Employees;107.0
2014;Manufacture of leather and related products;Less than 5 Employees;103.0
2014;Manufacture of wood and of products of wood and cork;Total;4806.0
2014;Printing and reproduction of recorded media;Total;1322.0
2014;Manufacture of other non-metallic mineral products;5 to 19 Employees;1634.0
2014;Manufacture of other non-metallic mineral products;20+  Employees;1047.0
2014;Manufacture of basic metals;5 to 19 Employees;186.0
2014;Manufacture of electrical equipment;Total;565.0
2014;Manufacture of machinery and equipment n.e.c.;20+  Employees;115.0
2014;Manufacture of motor vehicles, trailers and semi-trailers;5 to 19 Employees;149.0
2014;Manufacture of other transport equipment;20+  Employees;9.0
2014;Other manufacturing;5 to 19 Employees;78.0
2014;Other manufacturing;20+  Employees;56.0
2014;Other manufacturing;Total;483.0
2014;Electricity, gas, steam and air conditioning supply;5 to 19 Employees;145.0
2014;Water collection, treatment and supply;5 to 19 Employees;322.0
2014;Water collection, treatment and supply;Total;1886.0
2014;"Waste collection, treatment & disposal activities; materials recovery";Total;260.0
2014;Remediation activities and other waste management services;20+  Employees;7.0
2014;Remediation activities and other waste management services;Total;15.0
2014;Civil engineering;Total;1135.0
2014;Wholesale trade, except of motor vehicles and motorcycles;20+  Employees;1414.0
2014;Water transport;20+  Employees;89.0
2014;Water transport;Total;233.0
2014;Air transport;5 to 19 Employees;135.0
2014;Warehousing and support activities for transportation;20+  Employees;690.0
2014;Postal and courier activities;20+  Employees;30.0
2014;Publishing activities;20+  Employees;67.0
2014;Motion picture, video & tv programme production, sound recording;Less than 5 Employees;133.0
2014;Telecommunications;5 to 19 Employees;506.0
2014;Telecommunications;Total;3095.0
2014;Computer programming, consultancy and related activities;Less than 5 Employees;226.0
2014;Computer programming, consultancy and related activities;20+  Employees;73.0
2014;Information service activities;Total;327.0
2014;Insurance, reinsurance and pension funding;5 to 19 Employees;277.0
2014;Real estate activities;20+  Employees;329.0
2014;Legal and accounting activities;20+  Employees;60.0
2014;"Activities of head offices; management consultancy activities";Total;370.0
2014;"Architectural and engineering activities; technical testing & analysis";Less than 5 Employees;817.0
2014;"Architectural and engineering activities; technical testing & analysis";Total;2114.0
2014;Scientific research and development;Total;14.0
2014;Advertising and market research;5 to 19 Employees;1087.0
2014;Advertising and market research;20+  Employees;145.0
2014;Other professional, scientific and technical activities;5 to 19 Employees;352.0
2014;Veterinary activities;5 to 19 Employees;22.0
2014;Veterinary activities;Total;626.0
2014;Rental and leasing activities;Less than 5 Employees;6728.0
2014;Travel agency, tour operator, reservation service & related activities;5 to 19 Employees;913.0
2014;Travel agency, tour operator, reservation service & related activities;20+  Employees;120.0
2014;Travel agency, tour operator, reservation service & related activities;Total;2940.0
2014;Security and investigation activities;Less than 5 Employees;212.0
2014;Human health activities;5 to 19 Employees;1696.0
2014;Residential care activities;Total;60.0
2014;Social work activities without accommodation;20+  Employees;125.0
2014;Creative, arts and entertainment activities;20+  Employees;9.0
2014;Libraries, archives, museums and other cultural activities;Less than 5 Employees;120.0
2014;Libraries, archives, museums and other cultural activities;Total;163.0
2014;Sports activities and amusement and recreation activities;Less than 5 Employees;1192.0
2014;Sports activities and amusement and recreation activities;20+  Employees;142.0
2014;Repair of computers and personal and household goods;Less than 5 Employees;12500.0
2014;Repair of computers and personal and household goods;Total;13084.0
2014;Forestry and logging;Less than 5 Employees;579.0
2014;Extraction of crude petroleum and natural gas;Total;69.0
2014;Mining of metal ores;20+  Employees;20.0
2014;Mining support service activities;Total;130.0
2014;Manufacture of beverages;Less than 5 Employees;598.0
2014;Manufacture of tobacco products;5 to 19 Employees;7.0
2014;Manufacture of wearing apparel;Less than 5 Employees;29217.0
2014;Manufacture of wood and of products of wood and cork;Less than 5 Employees;3242.0
2014;Manufacture of wood and of products of wood and cork;20+  Employees;141.0
2014;Manufacture of paper and paper products;Total;309.0
2014;Manufacture of coke and refined petroleum products;5 to 19 Employees;60.0
2014;Manufacture of coke and refined petroleum products;20+  Employees;31.0
2014;Manufacture of chemicals and chemical products;Total;1363.0
2014;Manufacture of products and preparations pharmaceutical;Less than 5 Employees;22.0
2014;Manufacture of products and preparations pharmaceutical;5 to 19 Employees;17.0
2014;Manufacture of rubber and plastics products;5 to 19 Employees;305.0
2014;Manufacture of basic metals;20+  Employees;240.0
2014;Manufacture of basic metals;Total;535.0
2014;Manufacture of fabricated metal products;Less than 5 Employees;14354.0
2014;Manufacture of fabricated metal products;5 to 19 Employees;5081.0
2014;Manufacture of fabricated metal products;Total;20075.0
2014;Manufacture of computer, electronic and optical products;Total;124.0
2014;Manufacture of electrical equipment;Less than 5 Employees;302.0
2014;Manufacture of motor vehicles, trailers and semi-trailers;20+  Employees;70.0
2014;Manufacture of other transport equipment;5 to 19 Employees;10.0
2014;Manufacture of other transport equipment;Total;42.0
2014;Remediation activities and other waste management services;Less than 5 Employees;4.0
2014;Remediation activities and other waste management services;5 to 19 Employees;4.0
2014;Construction of buildings;Less than 5 Employees;9214.0
2014;Construction of buildings;20+  Employees;3100.0
2014;Specialized construction activities;Less than 5 Employees;7211.0
2014;Specialized construction activities;Total;11084.0
2014;Wholesale & retail trade and repair of motor vehicles & motorcycles;20+  Employees;1075.0
2014;Retail trade, except of motor vehicles and motorcycles;5 to 19 Employees;24431.0
2014;Retail trade, except of motor vehicles and motorcycles;Total;319561.0
2014;Land transport and transport via pipelines;5 to 19 Employees;1159.0
2014;Land transport and transport via pipelines;Total;3178.0
2014;Warehousing and support activities for transportation;Less than 5 Employees;7215.0
2014;Publishing activities;5 to 19 Employees;221.0
2014;Telecommunications;20+  Employees;212.0
2014;Information service activities;20+  Employees;23.0
2014;Manufacture of furniture;Total;9648.0
2014;Repair and installation of machinery and equipment;5 to 19 Employees;629.0
2014;Water collection, treatment and supply;Less than 5 Employees;1451.0
2014;Sewerage;Total;123.0
2014;"Waste collection, treatment & disposal activities; materials recovery";Less than 5 Employees;104.0
2014;Postal and courier activities;Total;397.0
2014;Accommodation;20+  Employees;583.0
2014;Motion picture, video & tv programme production, sound recording;20+  Employees;13.0
2014;Programming and broadcasting activities;5 to 19 Employees;32.0
2014;Telecommunications;Less than 5 Employees;2377.0
2014;Financial service activities, except insurance and pension funding;20+  Employees;488.0
2014;Insurance, reinsurance and pension funding;20+  Employees;142.0
2014;Insurance, reinsurance and pension funding;Total;1161.0
2014;Activities auxiliary to financial service and insurance activities;5 to 19 Employees;296.0
2014;Real estate activities;Less than 5 Employees;28777.0
2014;"Activities of head offices; management consultancy activities";20+  Employees;51.0
2014;Scientific research and development;20+  Employees;5.0
2014;Veterinary activities;Less than 5 Employees;603.0
2014;Rental and leasing activities;20+  Employees;219.0
2014;Rental and leasing activities;Total;7936.0
2014;Employment activities;5 to 19 Employees;643.0
2014;Travel agency, tour operator, reservation service & related activities;Less than 5 Employees;1907.0
2014;Security and investigation activities;20+  Employees;174.0
2014;Services to buildings and landscape activities;Less than 5 Employees;710.0
2014;Services to buildings and landscape activities;Total;1551.0
2014;Office administrative, office support & other business support act's;Less than 5 Employees;2076.0
2014;Office administrative, office support & other business support act's;5 to 19 Employees;454.0
2014;Education;20+  Employees;2657.0
2014;Human health activities;Less than 5 Employees;540.0
2014;Residential care activities;Less than 5 Employees;22.0
2014;Repair of computers and personal and household goods;5 to 19 Employees;506.0
2014;Other personal service activities;Total;58196.0
2014;Total;Less than 5 Employees;791938.0
2014;Total;5 to 19 Employees;128193.0
2014;Fishing and aquaculture;Less than 5 Employees;45.0
2014;Fishing and aquaculture;20+  Employees;9.0
2014;Mining of coal and lignite;5 to 19 Employees;0.0
2014;Mining of metal ores;5 to 19 Employees;13.0
2014;Mining support service activities;Less than 5 Employees;18.0
2014;Mining support service activities;20+  Employees;73.0
2014;Manufacture of beverages;5 to 19 Employees;217.0
2014;Manufacture of tobacco products;Total;75.0
2014;Manufacture of wearing apparel;Total;31283.0
2014;Manufacture of wood and of products of wood and cork;5 to 19 Employees;1423.0
2014;Printing and reproduction of recorded media;5 to 19 Employees;398.0
2014;Printing and reproduction of recorded media;20+  Employees;162.0
2014;Manufacture of chemicals and chemical products;5 to 19 Employees;556.0
2014;Manufacture of rubber and plastics products;20+  Employees;210.0
2014;Manufacture of other non-metallic mineral products;Less than 5 Employees;1705.0
2014;Manufacture of other non-metallic mineral products;Total;4386.0
2014;Manufacture of computer, electronic and optical products;Less than 5 Employees;61.0
2014;Manufacture of electrical equipment;20+  Employees;170.0
2014;Manufacture of machinery and equipment n.e.c.;Less than 5 Employees;112.0
2014;Manufacture of machinery and equipment n.e.c.;Total;347.0
2014;Manufacture of motor vehicles, trailers and semi-trailers;Less than 5 Employees;83.0
2014;Manufacture of other transport equipment;Less than 5 Employees;23.0
2014;Manufacture of furniture;20+  Employees;335.0
2014;Repair and installation of machinery and equipment;Total;11779.0
2014;Electricity, gas, steam and air conditioning supply;Less than 5 Employees;354.0
2014;Sewerage;5 to 19 Employees;35.0
2014;Construction of buildings;5 to 19 Employees;6871.0
2014;Civil engineering;20+  Employees;472.0
2014;Specialized construction activities;20+  Employees;691.0
2014;Wholesale & retail trade and repair of motor vehicles & motorcycles;Less than 5 Employees;76207.0
2014;Wholesale & retail trade and repair of motor vehicles & motorcycles;5 to 19 Employees;14626.0
2014;Retail trade, except of motor vehicles and motorcycles;Less than 5 Employees;292714.0
2014;Land transport and transport via pipelines;20+  Employees;613.0
2014;Water transport;5 to 19 Employees;80.0
2014;Air transport;20+  Employees;33.0
2014;Air transport;Total;457.0
2014;Warehousing and support activities for transportation;5 to 19 Employees;3414.0
2014;Warehousing and support activities for transportation;Total;11319.0
2014;Postal and courier activities;Less than 5 Employees;268.0
2014;Accommodation;Less than 5 Employees;21703.0
2014;Accommodation;5 to 19 Employees;4010.0
2014;Food and beverage service activities;Less than 5 Employees;53427.0
2014;Programming and broadcasting activities;Less than 5 Employees;269.0
2014;Programming and broadcasting activities;Total;312.0
2014;Computer programming, consultancy and related activities;5 to 19 Employees;211.0
2014;Insurance, reinsurance and pension funding;Less than 5 Employees;742.0
2014;Activities auxiliary to financial service and insurance activities;20+  Employees;23.0
2014;Legal and accounting activities;5 to 19 Employees;529.0
2014;Legal and accounting activities;Total;1667.0
2014;Advertising and market research;Less than 5 Employees;2179.0
2014;Advertising and market research;Total;3411.0
2014;Other professional, scientific and technical activities;Less than 5 Employees;3204.0
2014;Other professional, scientific and technical activities;20+  Employees;30.0
2014;Veterinary activities;20+  Employees;1.0
2014;Office administrative, office support & other business support act's;Total;2616.0
2014;Education;5 to 19 Employees;3352.0
2014;Social work activities without accommodation;Total;1453.0
2014;Creative, arts and entertainment activities;Less than 5 Employees;205.0
2014;Creative, arts and entertainment activities;Total;270.0
2014;Sports activities and amusement and recreation activities;Total;1858.0
2014;Activities of membership organizations;Total;2345.0
2014;Other personal service activities;20+  Employees;93.0
2014;Total;20+  Employees;26749.0
2013;Crop and animal production, hunting and related service activities;Less than 5 Employees;79218.0
2013;Forestry and logging;20+  Employees;1.0
2013;Fishing and aquaculture;5 to 19 Employees;9.0
2013;Mining of coal and lignite;20+  Employees;0.0
2013;Mining of coal and lignite;Total;4.0
2013;Extraction of crude petroleum and natural gas;5 to 19 Employees;11.0
2013;Mining of metal ores;Less than 5 Employees;8.0
2013;Other mining and quarrying;Less than 5 Employees;27.0
2013;Other mining and quarrying;5 to 19 Employees;184.0
2013;Manufacture of food products;5 to 19 Employees;1416.0
2013;Manufacture of tobacco products;Less than 5 Employees;58.0
2013;Manufacture of tobacco products;20+  Employees;1.0
2013;Manufacture of tobacco products;Total;66.0
2013;Manufacture of textiles;5 to 19 Employees;245.0
2013;Manufacture of textiles;20+  Employees;60.0
2013;Manufacture of wearing apparel;5 to 19 Employees;1740.0
2013;Manufacture of leather and related products;5 to 19 Employees;13.0
2013;Manufacture of leather and related products;20+  Employees;14.0
2013;Manufacture of wood and of products of wood and cork;5 to 19 Employees;1359.0
2013;Manufacture of paper and paper products;5 to 19 Employees;95.0
2013;Printing and reproduction of recorded media;Total;1249.0
2013;Manufacture of coke and refined petroleum products;Total;99.0
2013;Manufacture of other non-metallic mineral products;Less than 5 Employees;1631.0
2013;Manufacture of other non-metallic mineral products;Total;4116.0
2013;Manufacture of basic metals;5 to 19 Employees;164.0
2013;Manufacture of fabricated metal products;5 to 19 Employees;4381.0
2013;Manufacture of computer, electronic and optical products;Total;110.0
2013;Manufacture of electrical equipment;Total;505.0
2013;Manufacture of machinery and equipment n.e.c.;Less than 5 Employees;104.0
2013;Manufacture of motor vehicles, trailers and semi-trailers;20+  Employees;64.0
2013;Manufacture of motor vehicles, trailers and semi-trailers;Total;269.0
2013;Manufacture of other transport equipment;20+  Employees;8.0
2013;Other manufacturing;5 to 19 Employees;70.0
2013;Repair and installation of machinery and equipment;5 to 19 Employees;567.0
2013;Electricity, gas, steam and air conditioning supply;5 to 19 Employees;126.0
2013;Construction of buildings;Less than 5 Employees;8808.0
2013;Construction of buildings;5 to 19 Employees;6727.0
2013;Civil engineering;20+  Employees;428.0
2013;Civil engineering;Total;1011.0
2013;Retail trade, except of motor vehicles and motorcycles;20+  Employees;2372.0
2013;Land transport and transport via pipelines;20+  Employees;528.0
2013;Water transport;20+  Employees;81.0
2013;Air transport;5 to 19 Employees;124.0
2013;Postal and courier activities;Less than 5 Employees;234.0
2013;Accommodation;Total;24680.0
2013;Publishing activities;20+  Employees;58.0
2013;Motion picture, video & tv programme production, sound recording;20+  Employees;11.0
2013;Programming and broadcasting activities;Less than 5 Employees;236.0
2013;Programming and broadcasting activities;20+  Employees;9.0
2013;Computer programming, consultancy and related activities;Less than 5 Employees;202.0
2013;Computer programming, consultancy and related activities;20+  Employees;66.0
2013;Information service activities;20+  Employees;20.0
2013;Information service activities;Total;294.0
2013;Financial service activities, except insurance and pension funding;Less than 5 Employees;1467.0
2013;Financial service activities, except insurance and pension funding;5 to 19 Employees;2062.0
2013;Insurance, reinsurance and pension funding;Less than 5 Employees;648.0
2013;Real estate activities;Total;30334.0
2013;"Architectural and engineering activities; technical testing & analysis";20+  Employees;251.0
2013;Advertising and market research;20+  Employees;126.0
2013;Other professional, scientific and technical activities;20+  Employees;27.0
2013;Veterinary activities;Less than 5 Employees;539.0
2013;Rental and leasing activities;Less than 5 Employees;6445.0
2013;Security and investigation activities;Less than 5 Employees;183.0
2013;Security and investigation activities;5 to 19 Employees;170.0
2013;Residential care activities;20+  Employees;14.0
2013;Social work activities without accommodation;20+  Employees;110.0
2013;Social work activities without accommodation;Total;1243.0
2013;Sports activities and amusement and recreation activities;Less than 5 Employees;1061.0
2013;Sports activities and amusement and recreation activities;5 to 19 Employees;494.0
2013;Activities of membership organizations;Total;2005.0
2013;Repair of computers and personal and household goods;20+  Employees;72.0
2013;Other personal service activities;5 to 19 Employees;2937.0
2013;Crop and animal production, hunting and related service activities;5 to 19 Employees;4255.0
2013;Forestry and logging;Less than 5 Employees;515.0
2013;Mining of coal and lignite;5 to 19 Employees;0.0
2013;Extraction of crude petroleum and natural gas;Less than 5 Employees;7.0
2013;Mining of metal ores;5 to 19 Employees;11.0
2013;Other mining and quarrying;20+  Employees;111.0
2013;Manufacture of food products;20+  Employees;541.0
2013;Manufacture of beverages;20+  Employees;106.0
2013;Manufacture of beverages;Total;888.0
2013;Manufacture of textiles;Less than 5 Employees;1894.0
2013;Manufacture of wearing apparel;Less than 5 Employees;28833.0
2013;Manufacture of wood and of products of wood and cork;20+  Employees;132.0
2013;Manufacture of paper and paper products;Less than 5 Employees;76.0
2013;Printing and reproduction of recorded media;5 to 19 Employees;373.0
2013;Printing and reproduction of recorded media;20+  Employees;146.0
2013;Manufacture of coke and refined petroleum products;Less than 5 Employees;25.0
2013;Manufacture of products and preparations pharmaceutical;5 to 19 Employees;16.0
2013;Manufacture of rubber and plastics products;Total;653.0
2013;Manufacture of basic metals;20+  Employees;210.0
2013;Manufacture of fabricated metal products;Total;19131.0
2013;Manufacture of computer, electronic and optical products;Less than 5 Employees;55.0
2013;Manufacture of electrical equipment;5 to 19 Employees;84.0
2013;Manufacture of electrical equipment;20+  Employees;150.0
2013;Manufacture of furniture;5 to 19 Employees;1988.0
2013;Other manufacturing;Less than 5 Employees;312.0
2013;Other manufacturing;20+  Employees;50.0
2013;Other manufacturing;Total;432.0
2013;Repair and installation of machinery and equipment;Less than 5 Employees;10187.0
2013;Repair and installation of machinery and equipment;Total;10906.0
2013;Electricity, gas, steam and air conditioning supply;Less than 5 Employees;318.0
2013;"Waste collection, treatment & disposal activities; materials recovery";Total;226.0
2013;Specialized construction activities;Less than 5 Employees;7173.0
2013;Specialized construction activities;5 to 19 Employees;3077.0
2013;Wholesale & retail trade and repair of motor vehicles & motorcycles;Less than 5 Employees;73565.0
2013;Water transport;Total;209.0
2013;Air transport;20+  Employees;28.0
2013;Warehousing and support activities for transportation;5 to 19 Employees;3070.0
2013;Warehousing and support activities for transportation;Total;10801.0
2013;Postal and courier activities;5 to 19 Employees;84.0
2013;Food and beverage service activities;20+  Employees;1662.0
2013;Publishing activities;5 to 19 Employees;204.0
2013;Insurance, reinsurance and pension funding;20+  Employees;119.0
2013;Real estate activities;5 to 19 Employees;1881.0
2013;Legal and accounting activities;20+  Employees;52.0
2013;Legal and accounting activities;Total;1460.0
2013;"Activities of head offices; management consultancy activities";Less than 5 Employees;131.0
2013;"Activities of head offices; management consultancy activities";Total;322.0
2013;"Architectural and engineering activities; technical testing & analysis";Total;1900.0
2013;Advertising and market research;Less than 5 Employees;2013.0
2013;Advertising and market research;5 to 19 Employees;921.0
2013;Travel agency, tour operator, reservation service & related activities;5 to 19 Employees;796.0
2013;Services to buildings and landscape activities;20+  Employees;247.0
2013;Office administrative, office support & other business support act's;Total;2303.0
2013;Education;5 to 19 Employees;3286.0
2013;Education;20+  Employees;2295.0
2013;Education;Total;7720.0
2013;Human health activities;5 to 19 Employees;1472.0
2013;Libraries, archives, museums and other cultural activities;5 to 19 Employees;30.0
2013;Libraries, archives, museums and other cultural activities;20+  Employees;9.0
2013;Sports activities and amusement and recreation activities;Total;1689.0
2013;Other personal service activities;20+  Employees;83.0
2013;Total;Total;899531.0
2013;Wholesale & retail trade and repair of motor vehicles & motorcycles;5 to 19 Employees;13949.0
2013;Wholesale trade, except of motor vehicles and motorcycles;Less than 5 Employees;24294.0
2013;Wholesale trade, except of motor vehicles and motorcycles;5 to 19 Employees;6504.0
2013;Wholesale trade, except of motor vehicles and motorcycles;20+  Employees;1244.0
2013;Retail trade, except of motor vehicles and motorcycles;Less than 5 Employees;280543.0
2013;Retail trade, except of motor vehicles and motorcycles;5 to 19 Employees;23557.0
2013;Retail trade, except of motor vehicles and motorcycles;Total;306472.0
2013;Water transport;5 to 19 Employees;70.0
2013;Air transport;Less than 5 Employees;272.0
2013;Air transport;Total;424.0
2013;Postal and courier activities;20+  Employees;25.0
2013;Postal and courier activities;Total;343.0
2013;Food and beverage service activities;Total;69227.0
2013;Publishing activities;Less than 5 Employees;391.0
2013;Motion picture, video & tv programme production, sound recording;Less than 5 Employees;125.0
2013;Motion picture, video & tv programme production, sound recording;Total;173.0
2013;Computer programming, consultancy and related activities;5 to 19 Employees;191.0
2013;Financial service activities, except insurance and pension funding;20+  Employees;422.0
2013;Insurance, reinsurance and pension funding;5 to 19 Employees;244.0
2013;Activities auxiliary to financial service and insurance activities;Total;400.0
2013;Real estate activities;Less than 5 Employees;28152.0
2013;Real estate activities;20+  Employees;301.0
2013;Legal and accounting activities;Less than 5 Employees;925.0
2013;Legal and accounting activities;5 to 19 Employees;483.0
2013;Scientific research and development;5 to 19 Employees;2.0
2013;Scientific research and development;20+  Employees;5.0
2013;Other professional, scientific and technical activities;Less than 5 Employees;2838.0
2013;Other professional, scientific and technical activities;Total;3191.0
2013;Rental and leasing activities;5 to 19 Employees;891.0
2013;Employment activities;Less than 5 Employees;2957.0
2013;Employment activities;Total;3553.0
2013;Security and investigation activities;Total;499.0
2013;Services to buildings and landscape activities;Less than 5 Employees;643.0
2013;Services to buildings and landscape activities;5 to 19 Employees;475.0
2013;Office administrative, office support & other business support act's;5 to 19 Employees;401.0
2013;Office administrative, office support & other business support act's;20+  Employees;76.0
2013;Human health activities;20+  Employees;1285.0
2013;Human health activities;Total;3229.0
2013;Residential care activities;Less than 5 Employees;18.0
2013;Residential care activities;5 to 19 Employees;18.0
2013;Residential care activities;Total;50.0
2013;Creative, arts and entertainment activities;20+  Employees;4.0
2013;Libraries, archives, museums and other cultural activities;Less than 5 Employees;106.0
2013;Libraries, archives, museums and other cultural activities;Total;145.0
2013;Activities of membership organizations;Less than 5 Employees;1148.0
2013;Activities of membership organizations;20+  Employees;129.0
2013;Repair of computers and personal and household goods;Less than 5 Employees;10575.0
2013;Crop and animal production, hunting and related service activities;20+  Employees;366.0
2013;Fishing and aquaculture;20+  Employees;9.0
2013;Fishing and aquaculture;Total;58.0
